comment,topic,pred_topic
brain fluid buildup delay giffords rehab,37,Gabrielle Giffords Recovery
trailer talk week movie rite mechanic week opportunity,14,Rite Movie Reviews
rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,100,Republican Party Initiatives
gbagbo camp futile cut ivory coast economy,110,Yemen Political Protests
chinese president lost translation powerful leader meet expect tran,61,Yemen Political Protests
england fishing community current management system broken edf,60,Fishing Regulation and Conservation
protest reform start yemen hundred anti government protester gathered sanaa,79,Yemen Political Protests
stuxnet lead chernobyl russian,83,Stuxnet Virus Concerns
iphone share smartphones phone,81,Electronic Trade Trends
uploaded youtube video nba final lakers celtic game memory highlig,67,Invalid
feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,99,Super Bowl Commercial Reviews
naughty facebook started sharing personal detail site day turn fb,95,Facebook Privacy Concerns
super bowl commercial,99,Super Bowl Commercial Reviews
bruce will fave kardashian lol,72,Social Media in Politics
attack journalist escalate egypt,66,Egyptian Government Internet Restrictions
keith olbermann join current tv report,30,Keith Olbermann Joining Current TV
opinion christina sounded amazing super bowl america making big deal,75,Christina Aguilera's National Anthem Error
sundance day strange celebrity encounter steve carell elijah wood full day sundanc,96,Sundance Film Festival Celebrity Sightings
acai berry supplement weight loss associated content heard oprah win,55,Weight Loss with Acai Berry
finished watching black swan twisted mental strain take embrace role natalie portman incredible,101,Black Swan Reception
hot air breaking rahm ballot tcot lt state totally corrupt,21,Rahm Emanuel Mayoral Eligibility Case
charlie sheen abuse,68,NCIS Show Fandom
music featured motorola xoom super bowl commercial,99,Super Bowl Commercial Reviews
rite movie review fan movie deal battle good evil,14,Rite Movie Reviews
potential replacement steve job,106,Steve Jobs Succession Discussions
yemen president signal won stay freedomwar egypt jan syria feb,79,Yemen Political Protests
debt settlement lawyer debt settlement easier lawyer day debt settlement beco,74,Debt Consolidation Programs
aguilera repeat national anthem ap ap christina aguilera flubbed belted,75,Christina Aguilera's National Anthem Error
skipped romanian crew journalist threatened attacked detained reporting egypt,66,Egyptian Government Internet Restrictions
loss weight acai berry capsule benefit,55,Weight Loss with Acai Berry
pew internet online american social networking twitter politics campaign internet,45,Social Media in Politics
tbf flw outdooors introduce national high school fishing program national high school fishing program,60,Fishing Regulation and Conservation
fucking awesome jesse jesse ventura slam tsa lawsuit,25,Jesse Ventura TSA Lawsuit
king speech awarded best ensemble cast screen actor guild award,88,Academy Award Nominees
charge fee saltwater fishing license,60,Fishing Regulation and Conservation
