task,comment,topic,pred_topic
clinc,how would you say fly in italian,translate,translation
clinc,what's the spanish word for pasta,translate,translation
clinc,how would they say butter in zambia,translate,translation
clinc,how do you say fast in spanish,translate,translation
clinc,what's the word for trees in norway,translate,translation
clinc,how does one say wonderful in german,translate,translation
clinc,how do they say tacos in mexico,translate,translation
clinc,how would one say cruiser in china,translate,translation
clinc,what's the french word you use for potato,translate,translation
clinc,what would the word for grass be in finland,translate,translation
clinc,how do you say please in french,translate,translation
clinc,how would i say nice to meet you if i were russian,translate,translation
clinc,what is the right way to say excuse me in spanish,translate,translation
clinc,how do i say i'm sorry in chinese,translate,translation
clinc,how would i say thank you if i were mexican,translate,translation
clinc,how would i say what is your name if i were french,translate,translation
clinc,how would i say i must be going now if i were german,translate,translation
clinc,how do i say bathroom in italian,translate,translation
clinc,how might i say hello if i were scottish,translate,greetings
clinc,i must know how to say thank you in german,translate,translation
clinc,how would i say i love you if i were german,translate,translation
clinc,how would i say how are you today if i were mexican,translate,translation
clinc,how would i say where is the bathroom if i were korean,translate,translation
clinc,how would i say i need directions if i were french,translate,translation
clinc,how would i say i am lost if i were japanese,translate,translation
clinc,english to spanish for dog,translate,translation
clinc,what is dog in spanish,translate,translation
clinc,how do you say dog in spanish,translate,translation
clinc,dog in spanish,translate,translation
clinc,what's the spanish word for dog,translate,translation
clinc,can you please provide me with assistance in moving money from one account to another,transfer,money transfer
clinc,i would like help moving money between accounts,transfer,money transfer
clinc,can you assist me in moving money from one account to another,transfer,money transfer
clinc,i would like help moving money from one account to another,transfer,money transfer
clinc,i would like assistance moving money from one account to another,transfer,money transfer
clinc,can i move some money around,transfer,money transfer
clinc,can i make a transfer between my accounts,transfer,money transfer
clinc,i need to make a transfer of my money,transfer,money transfer
clinc,can i move some money between my two accounts,transfer,money transfer
clinc,i would like to distribute some money between my accounts,transfer,money transfer
clinc,i would like to transfer $100 from my checking to saving account,transfer,money transfer
clinc,help me transfer $100 from my checking to saving account,transfer,money transfer
clinc,transfer $100 from my checking to saving account,transfer,money transfer
clinc,can you please help me move $100 from my checking to saving account,transfer,money transfer
clinc,please move $100 from my checking to saving account,transfer,money transfer
clinc,"transfer seventeen dollars from rbs to woodforest account, please",transfer,money transfer
clinc,"send twelve dollars between cabelas and bank of london accounts, please",transfer,money transfer
clinc,"transfer ninety dollars between glacier checking and farmers accounts, please",transfer,money transfer
clinc,transfer seventy dollars between national and citizens accounts,transfer,money transfer
clinc,transfer four and sixty seven dollars from bank of oklahoma checking to security bank account,transfer,money transfer
clinc,how much money can i transfer today,transfer,money transfer
clinc,add funds to the retirement account from the pnc account only,transfer,money transfer
clinc,would you move 100 dollars from the checking and put it into savings,transfer,money transfer
clinc,i would like to put 100 dollars from the checking into the savings account now,transfer,money transfer
clinc,please transfer $5000 to money market from checking account,transfer,money transfer
clinc,i need $360 transfered from savings to checking account,transfer,money transfer
clinc,make an immediate transfer of ten thousand from money market to checking,transfer,money transfer
clinc,i'd like to transfer $400 from household to savings account,transfer,money transfer
clinc,transer $800 from my checking to savings account,transfer,money transfer
clinc,set a 4 minute timer,timer,timers
clinc,set a 2 minute timer,timer,timers
clinc,set a 3 minute timer,timer,timers
clinc,set a 5 minute timer,timer,timers
clinc,set a 1 minute timer,timer,timers
clinc,start the timer,timer,timers
clinc,start a timer please,timer,timers
clinc,i need to start a timer,timer,timers
clinc,i need a timer to be set,timer,timers
clinc,could you set a timer,timer,timers
clinc,set a timer,timer,timers
clinc,i need to have a timer for 10 minutes,timer,timers
clinc,make a 10 minute timer,timer,timers
clinc,give me a 10 minute timer,timer,timers
clinc,will you create a timer for me,timer,timers
clinc,please begin a timer,timer,timers
clinc,is it possible to set a timer,timer,timers
clinc,i want a timer set for 10 minutes,timer,timers
clinc,set a timer for 10 minutes,timer,timers
clinc,can i get a timer set,timer,timers
clinc,i need to use a timer,timer,timers
clinc,set a timer to go off in 1 hour,timer,timers
clinc,i need a timer for 45 minutes,timer,timers
clinc,in 15 minutes the timer should go off,timer,timers
clinc,start the timer now,timer,timers
clinc,set a timer for 30 minutes,timer,timers
clinc,set a timer for 5 minutes from now,timer,timers
clinc,let me know when it's been 5 minutes,timer,timers
clinc,can you set the timer to 20 minutes,timer,timers
clinc,define antebellum,definition,definitions
clinc,define discontent,definition,definitions
clinc,what is the meaning of incandescent,definition,definitions
clinc,what does confrontation mean,definition,definitions
clinc,what does serendipity mean,definition,definitions
clinc,what's the definition of luminescent,definition,definitions
clinc,what is the definiton of auspicious,definition,definitions
clinc,what does circuitous mean,definition,definitions
clinc,what's the definition of unencumbered,definition,definitions
clinc,what does adulation mean,definition,definitions
clinc,what does assiduous mean,definition,definitions
clinc,what does amicable mean,definition,definitions
clinc,what's the definition of remunerative,definition,definitions
clinc,what does anachronistic mean,definition,definitions
clinc,what's the definition of idiosyncratic,definition,definitions
clinc,what does yolo mean,definition,definitions
clinc,can you tell me the meaning of fluctuate,definition,definitions
clinc,what does the word polynomial mean,definition,definitions
clinc,what does ferrari mean,definition,definitions
clinc,what is the meaning of the word girn,definition,definitions
clinc,what does mature mean,definition,definitions
clinc,i'd like to know what bitcoin means,definition,definitions
clinc,"i heard some woman say she was going to yerd me, what's that mean",definition,definitions
