comment,topic,cluster,pred_topic
brain fluid buildup delay giffords rehab,37,42,Charlie Sheen controversies
trailer talk week movie rite mechanic week opportunity,14,36,Movies on exorcism
rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,100,69,RNC and Ronald Reagan celebrations
gbagbo camp futile cut ivory coast economy,110,18,Middle East protests
chinese president lost translation powerful leader meet expect tran,61,82,Social media influence in democracy
england fishing community current management system broken edf,60,42,Fishing
protest reform start yemen hundred anti government protester gathered sanaa,79,21,Middle East protests
stuxnet lead chernobyl russian,83,87,Natural disasters and climate change
iphone share smartphones phone,81,1,Electronics and gadgets
uploaded youtube video nba final lakers celtic game memory highlig,67,36,Celebrity gossip and pop culture
feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,99,48,Mercedes Benz and Kia Superbowl commercials
naughty facebook started sharing personal detail site day turn fb,95,63,Facebook and privacy settings
super bowl commercial,99,52,Super Bowl commercials
bruce will fave kardashian lol,72,88,Kardashians
attack journalist escalate egypt,66,22,Egypt-related political news
keith olbermann join current tv report,30,62,Keith Olbermann’s move to Current TV
opinion christina sounded amazing super bowl america making big deal,75,67,Christina Aguilera’s national anthem mishap
sundance day strange celebrity encounter steve carell elijah wood full day sundanc,96,59,Sundance Film Festival
acai berry supplement weight loss associated content heard oprah win,55,9,Weight-loss diets and acai berry
finished watching black swan twisted mental strain take embrace role natalie portman incredible,101,54,Black Swan and Natalie Portman
hot air breaking rahm ballot tcot lt state totally corrupt,21,0,Rahm Emanuel ballot case
charlie sheen abuse,68,12,Charlie Sheen controversies
music featured motorola xoom super bowl commercial,99,41,Motorola Xoom Super Bowl ad
rite movie review fan movie deal battle good evil,14,36,Movies on exorcism
potential replacement steve job,106,51,Steve Jobs’ health and impact on Apple
yemen president signal won stay freedomwar egypt jan syria feb,79,14,Middle East protests
debt settlement lawyer debt settlement easier lawyer day debt settlement beco,74,57,Consumer debt consolidation
aguilera repeat national anthem ap ap christina aguilera flubbed belted,75,6,Christina Aguilera’s national anthem mishap
skipped romanian crew journalist threatened attacked detained reporting egypt,66,22,Egypt-related political news
loss weight acai berry capsule benefit,55,27,Weight loss and acai berry products
pew internet online american social networking twitter politics campaign internet,45,63,Social media for politics
tbf flw outdooors introduce national high school fishing program national high school fishing program,60,81,Fishing events and gear
fucking awesome jesse jesse ventura slam tsa lawsuit,25,56,Jesse Ventura vs TSA lawsuit
king speech awarded best ensemble cast screen actor guild award,88,45,Awards season: Oscars and SAG
charge fee saltwater fishing license,60,28,Fishing
bottega veneta teal turquoise knot intrecciato snakeskin clutch,46,56,Celebrity gossip and pop culture
baked slow cooker chicken crockpotrecipes,87,16,Chicken recipes and food ideas
fake snow storm white stripe officially call quits,17,64,White Stripe breakup announcement
chrysler air super bowl commercial,99,5,Super Bowl commercials
kid set college time fill fafsa,97,75,College scholarships and financial aid
funny happened aguilera repeat national anthem yahoo news,75,6,Christina Aguilera’s national anthem mishap
hollywood director honor king speech reuters,88,45,Awards season: Oscars and SAG
kung pao chicken recipe,87,16,Chicken recipes and food ideas
giffords rocky road recovery health news,37,29,Charlie Sheen controversies
complete list super bowl commercial advertiser youtube,99,41,Super Bowl ad reviews
senator avoiding tea party caucus,103,42,Social media for politics
watch volkswagen superbowl commercial youtube ad blitz channel escarabaajoos,99,37,Super Bowl commercials
washington legislature wade immigration debate oregonlive summary requires employe verify,82,26,Fast food and immigration policies
te boozing news starbucks huge trenta cup hold entire bottle wine,62,19,Starbucks Trenta cup controversy
carney obama press secretary,44,26,Healthcare reform legal battles
kardashians pier morgan stupid answer question perfect,72,88,Kardashians
chavez mark year office venezuelan president hugo chavez mark year power promising press,56,20,Hugo Chávez’s presidency
rite safe horror film devil time plain dealer,14,36,Movies on exorcism
chipotle fire hundred immigration raid immigration probe forced mexican chain chipotle fire,80,26,Fast food and immigration policies
beetle commercial creative superbowl great teaser,99,37,Budweiser and beer-related ads
yemen thousand protest government worldnomads travelsafety,79,21,Yemen protests intensify
going amazing constitutional showdown reach supreme court,22,82,Healthcare reform legal battles
aquarium fish aquarium success good common sense will fir,60,74,Aquariums and pet care
justice extend protection workplace retaliation supreme court ruled employer sued,89,18,Healthcare reform legal battles
white house press secretary jay carney,44,26,Lady Michelle Obama fitness campaign
oscar reaction guess king speech,88,39,Awards season: Oscars and SAG
cnn hack facebook unlocks security facebook adding security feature pa,95,38,Facebook and privacy settings
nfl concussion people survey wix jsquared concussion,84,49,Concussions and sports injuries
national guard called chicago snow storm woow snow chill people,57,43,Chicago blizzard: Historic snowstorm
loooooooooooove ncis,77,26,Crime-solving TV shows
weight loss diet plan acai juice equal nutritional claim acai,55,71,Weight-loss diets and acai berry
traffic depot update oceanside green light red light camera ticket traffic,64,24,Red-light cameras and studies
christina aguilera mess national anthem start super bowl xlv,75,67,Christina Aguilera’s national anthem mishap
definitely forward superbowl commercial year esp steve martin cameo,99,84,Super Bowl ad reviews
acai berry diet succeed hoodia gordonii site acai berry cultivated acai palm,55,27,Weight loss and acai berry products
hugo chavez apologizes venezuelan people ahead election,56,20,Hugo Chávez’s presidency
fishing news banner website,60,28,Fishing events and gear
keith olbermann join current tv report keith olbermann controversial liberal pundit ho,30,62,Keith Olbermann’s move to Current TV
chicago rahm emanuel ballot,21,46,Rahm Emanuel ballot case
tanning iced coffee tazo iced tea hello trenta,62,9,Starbucks Trenta cup controversy
watching kourtney kim khloe loving waiting forever,72,55,Kardashians
vincent tabak appears court charged murder,86,76,Joanna Yeates murder case
casserole recipe bruschetta chicken bake submitted heather simple creative chicken meal mimic,87,16,Chicken recipes for dinner
honor epic fail national anthem top ten list time worst,75,65,Christina Aguilera’s national anthem mishap
info topic fish tank heater aquarium stuff technorati tag aquarium heater aquariu,60,74,Aquariums and pet care
grilled chicken tomato salad,87,83,Chicken recipes and food ideas
today read concerned gasland movie stand set record straight,109,34,Natural disasters and climate change
