comment,topic,pred_topic
brain fluid buildup delay giffords rehab,37,Gabrielle Giffords' Recovery
trailer talk week movie rite mechanic week opportunity,14,Movie 'The Rite'
rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,100,RNC Funding Issues
gbagbo camp futile cut ivory coast economy,110,Ivory Coast Economic Isolation
chinese president lost translation powerful leader meet expect tran,61,Chinese President Hu's Visit
england fishing community current management system broken edf,60,Fishing Enthusiast Reports
protest reform start yemen hundred anti government protester gathered sanaa,79,Yemen Day of Rage
stuxnet lead chernobyl russian,83,Stuxnet Cybersecurity Concerns
iphone share smartphones phone,81,Android Smartphone Trends
uploaded youtube video nba final lakers celtic game memory highlig,67,Super Bowl Commercial Highlights
feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,99,Super Bowl Commercial Highlights
naughty facebook started sharing personal detail site day turn fb,95,Facebook Privacy Settings
super bowl commercial,99,Super Bowl Commercial Highlights
bruce will fave kardashian lol,72,Kardashian Family Popularity
attack journalist escalate egypt,66,Journalist Attacks in Egypt
keith olbermann join current tv report,30,Keith Olbermann Joins Current TV
opinion christina sounded amazing super bowl america making big deal,75,Christina Aguilera's Anthem Fail
sundance day strange celebrity encounter steve carell elijah wood full day sundanc,96,Sundance Film Festival Highlights
acai berry supplement weight loss associated content heard oprah win,55,Acai Berry Diet
finished watching black swan twisted mental strain take embrace role natalie portman incredible,101,Black Swan Oscar Buzz
hot air breaking rahm ballot tcot lt state totally corrupt,21,Rahm Emanuel Ballot Controversy
charlie sheen abuse,68,Charlie Sheen Rehab
music featured motorola xoom super bowl commercial,99,Volvo & VW Superbowl Ads
rite movie review fan movie deal battle good evil,14,Movie 'The Rite'
potential replacement steve job,106,Steve Jobs Succession News
yemen president signal won stay freedomwar egypt jan syria feb,79,Yemen Day of Rage
debt settlement lawyer debt settlement easier lawyer day debt settlement beco,74,Debt Settlement Plans
aguilera repeat national anthem ap ap christina aguilera flubbed belted,75,Christina Aguilera's Anthem Fail
skipped romanian crew journalist threatened attacked detained reporting egypt,66,Journalist Attacks in Egypt
loss weight acai berry capsule benefit,55,Acai Berry Diet
pew internet online american social networking twitter politics campaign internet,45,Obama's Social Media Strategy
tbf flw outdooors introduce national high school fishing program national high school fishing program,60,Fishing Enthusiast Reports
fucking awesome jesse jesse ventura slam tsa lawsuit,25,TSA Body Scanners
king speech awarded best ensemble cast screen actor guild award,88,Oscar Nominations - King Speech
charge fee saltwater fishing license,60,Fishing Kayak Guides
bottega veneta teal turquoise knot intrecciato snakeskin clutch,46,Spring Fashion Trends
baked slow cooker chicken crockpotrecipes,87,Chicken Recipes
fake snow storm white stripe officially call quits,17,White Stripes Breakup
chrysler air super bowl commercial,99,Chrysler Dodge Revival Superbowl Ads
kid set college time fill fafsa,97,College Scholarships
funny happened aguilera repeat national anthem yahoo news,75,Christina Aguilera's Anthem Fail
hollywood director honor king speech reuters,88,Oscar Nominations - King Speech
kung pao chicken recipe,87,Chicken Recipes
giffords rocky road recovery health news,37,Gabrielle Giffords' Recovery
complete list super bowl commercial advertiser youtube,99,Super Bowl Commercial Highlights
senator avoiding tea party caucus,103,Michael Steele Criticism
watch volkswagen superbowl commercial youtube ad blitz channel escarabaajoos,99,Volvo & VW Superbowl Ads
washington legislature wade immigration debate oregonlive summary requires employe verify,82,Immigration Crackdowns
te boozing news starbucks huge trenta cup hold entire bottle wine,62,Starbucks Trenta Cup
carney obama press secretary,44,Obama's Social Media Strategy
kardashians pier morgan stupid answer question perfect,72,Kardashian Family Popularity
chavez mark year office venezuelan president hugo chavez mark year power promising press,56,Hugo Chavez Anniversary
rite safe horror film devil time plain dealer,14,Movie 'The Rite'
chipotle fire hundred immigration raid immigration probe forced mexican chain chipotle fire,80,Immigration Crackdowns
beetle commercial creative superbowl great teaser,99,Volvo & VW Superbowl Ads
yemen thousand protest government worldnomads travelsafety,79,Yemen Day of Rage
going amazing constitutional showdown reach supreme court,22,Healthcare Reform Court Rulings
aquarium fish aquarium success good common sense will fir,60,Aquarium Fish
justice extend protection workplace retaliation supreme court ruled employer sued,89,Supreme Court Workplace Retaliation Ruling
white house press secretary jay carney,44,Obama's Social Media Strategy
oscar reaction guess king speech,88,Oscar Nominations - King Speech
cnn hack facebook unlocks security facebook adding security feature pa,95,Facebook Privacy Settings
nfl concussion people survey wix jsquared concussion,84,NFL Quarterback Concussions
national guard called chicago snow storm woow snow chill people,57,Chicago Blizzard
loooooooooooove ncis,77,Crime TV Shows Popularity
weight loss diet plan acai juice equal nutritional claim acai,55,Acai Berry Diet
traffic depot update oceanside green light red light camera ticket traffic,64,Red Light Camera Safety Debate
christina aguilera mess national anthem start super bowl xlv,75,Christina Aguilera's Anthem Fail
definitely forward superbowl commercial year esp steve martin cameo,99,Super Bowl Commercial Highlights
acai berry diet succeed hoodia gordonii site acai berry cultivated acai palm,55,Acai Berry Diet
hugo chavez apologizes venezuelan people ahead election,56,Hugo Chavez Anniversary
fishing news banner website,60,Fishing Enthusiast Reports
keith olbermann join current tv report keith olbermann controversial liberal pundit ho,30,Keith Olbermann Joins Current TV
chicago rahm emanuel ballot,21,Rahm Emanuel Ballot Controversy
tanning iced coffee tazo iced tea hello trenta,62,Starbucks Trenta Cup
watching kourtney kim khloe loving waiting forever,72,Kardashian Family Popularity
vincent tabak appears court charged murder,86,Jo Yeates Murder Case
casserole recipe bruschetta chicken bake submitted heather simple creative chicken meal mimic,87,Chicken Recipes
honor epic fail national anthem top ten list time worst,75,Christina Aguilera's Anthem Fail
info topic fish tank heater aquarium stuff technorati tag aquarium heater aquariu,60,Aquarium Fish
grilled chicken tomato salad,87,Chicken Recipes
today read concerned gasland movie stand set record straight,109,Gasland Documentary Critique
king speech top film producer award ap ap king speech claimed crown be,88,Oscar Nominations - King Speech
sag prediction award tracker hmmmm,88,Oscar Nominations - King Speech
kia spent lot money optimum superbowl commercial,99,Super Bowl Commercial Highlights
doritos commercial raising dead best night superbowl nfl,99,Super Bowl Commercial Highlights
idf intelligence chief iran nuclear bomb year haaretz,73,Iran Nuclear Update
