task,comment,topic,cluster,cos_dist,eclu_dist,pred_topic
clinc,how would you say fly in italian,translate,148,0.0,1.4901161e-08,language translation
clinc,what's the spanish word for pasta,translate,71,0.14786035,0.54380226,language translation
clinc,how would they say butter in zambia,translate,148,0.1820665,0.60343456,language translation
clinc,how do you say fast in spanish,translate,71,0.14210773,0.5331188,language translation
clinc,what's the word for trees in norway,translate,148,0.20187742,0.6354173,language translation
clinc,how does one say wonderful in german,translate,148,0.17578954,0.592941,language translation
clinc,how do they say tacos in mexico,translate,102,0.20067304,0.6335188,language translation
clinc,how would one say cruiser in china,translate,148,0.18149567,0.60248774,language translation
clinc,what's the french word you use for potato,translate,148,0.19163233,0.61908376,language translation
clinc,what would the word for grass be in finland,translate,148,0.18111229,0.6018511,language translation
clinc,how do you say please in french,translate,148,0.16930741,0.5819065,language translation
clinc,how would i say nice to meet you if i were russian,translate,148,0.19777417,0.6289264,language translation
clinc,what is the right way to say excuse me in spanish,translate,71,0.17111015,0.5849959,language translation
clinc,how do i say i'm sorry in chinese,translate,148,0.18916225,0.615081,language translation
clinc,how would i say thank you if i were mexican,translate,71,0.1811533,0.6019193,language translation
clinc,how would i say what is your name if i were french,translate,35,0.17758536,0.5959621,language translation
clinc,how would i say i must be going now if i were german,translate,148,0.16810548,0.57983696,language translation
clinc,how do i say bathroom in italian,translate,148,0.10581249,0.46002716,language translation
clinc,how might i say hello if i were scottish,translate,148,0.1850645,0.6083823,greetings
clinc,i must know how to say thank you in german,translate,148,0.1827203,0.6045169,language translation
clinc,how would i say i love you if i were german,translate,148,0.1801945,0.6003241,language translation
clinc,how would i say how are you today if i were mexican,translate,107,0.18776321,0.61280227,language translation
clinc,how would i say where is the bathroom if i were korean,translate,148,0.1942116,0.62323624,language translation
clinc,how would i say i need directions if i were french,translate,148,0.16544038,0.57522243,language translation
clinc,how would i say i am lost if i were japanese,translate,148,0.17775142,0.59624064,language translation
clinc,english to spanish for dog,translate,71,0.17187208,0.58629704,language translation
clinc,what is dog in spanish,translate,71,0.18162698,0.60270566,language translation
clinc,how do you say dog in spanish,translate,71,0.17870212,0.59783286,language translation
clinc,dog in spanish,translate,71,0.18947196,0.6155842,language translation
clinc,what's the spanish word for dog,translate,71,0.18109727,0.60182613,language translation
clinc,can you please provide me with assistance in moving money from one account to another,transfer,122,0.24249578,0.6964134,money transfer
clinc,i would like help moving money between accounts,transfer,122,0.23654866,0.6878207,money transfer
clinc,can you assist me in moving money from one account to another,transfer,122,0.24275541,0.6967862,money transfer
clinc,i would like help moving money from one account to another,transfer,122,0.24249876,0.6964177,money transfer
clinc,i would like assistance moving money from one account to another,transfer,122,0.2436055,0.6980051,money transfer
clinc,can i move some money around,transfer,122,0.21342123,0.65333194,money transfer
clinc,can i make a transfer between my accounts,transfer,122,0.24395984,0.6985126,money transfer
clinc,i need to make a transfer of my money,transfer,122,0.22751832,0.6745643,money transfer
clinc,can i move some money between my two accounts,transfer,122,0.2460146,0.701448,money transfer
clinc,i would like to distribute some money between my accounts,transfer,122,0.229532,0.6775428,money transfer
clinc,i would like to transfer $100 from my checking to saving account,transfer,122,0.24862206,0.7051556,money transfer
clinc,help me transfer $100 from my checking to saving account,transfer,122,0.2456125,0.7008744,money transfer
clinc,transfer $100 from my checking to saving account,transfer,122,0.25763035,0.71781665,money transfer
clinc,can you please help me move $100 from my checking to saving account,transfer,122,0.24380815,0.69829535,money transfer
clinc,please move $100 from my checking to saving account,transfer,122,0.23636103,0.687548,money transfer
clinc,"transfer seventeen dollars from rbs to woodforest account, please",transfer,122,0.25218004,0.71018326,money transfer
clinc,"send twelve dollars between cabelas and bank of london accounts, please",transfer,122,0.2477411,0.70390517,money transfer
clinc,"transfer ninety dollars between glacier checking and farmers accounts, please",transfer,122,0.24163473,0.69517595,money transfer
clinc,transfer seventy dollars between national and citizens accounts,transfer,122,0.23308003,0.6827591,money transfer
clinc,transfer four and sixty seven dollars from bank of oklahoma checking to security bank account,transfer,122,0.26488298,0.72785014,money transfer
clinc,how much money can i transfer today,transfer,122,0.23809695,0.69006824,money transfer
clinc,add funds to the retirement account from the pnc account only,transfer,122,0.281129,0.74983877,money transfer
clinc,would you move 100 dollars from the checking and put it into savings,transfer,122,0.2548774,0.71397126,money transfer
clinc,i would like to put 100 dollars from the checking into the savings account now,transfer,122,0.2507347,0.70814496,money transfer
clinc,please transfer $5000 to money market from checking account,transfer,122,0.24790943,0.70414406,money transfer
clinc,i need $360 transfered from savings to checking account,transfer,122,0.25509596,0.71427745,money transfer
clinc,make an immediate transfer of ten thousand from money market to checking,transfer,122,0.25750732,0.7176453,money transfer
clinc,i'd like to transfer $400 from household to savings account,transfer,122,0.2483846,0.7048187,money transfer
clinc,transer $800 from my checking to savings account,transfer,122,0.26137435,0.7230138,money transfer
clinc,set a 4 minute timer,timer,57,0.24414694,0.6987804,timer setup
clinc,set a 2 minute timer,timer,57,0.237248,0.6888369,timer setup
clinc,set a 3 minute timer,timer,57,0.24614471,0.7016335,timer setup
clinc,set a 5 minute timer,timer,57,0.24351239,0.6978718,timer setup
clinc,set a 1 minute timer,timer,57,0.2454434,0.7006332,timer setup
clinc,start the timer,timer,57,0.22810692,0.6754361,timer setup
clinc,start a timer please,timer,57,0.2222054,0.6666415,timer setup
clinc,i need to start a timer,timer,57,0.23394752,0.6840286,timer setup
clinc,i need a timer to be set,timer,57,0.24264622,0.6966295,timer setup
clinc,could you set a timer,timer,57,0.23229074,0.6816023,timer setup
clinc,set a timer,timer,57,0.23217738,0.6814359,timer setup
clinc,i need to have a timer for 10 minutes,timer,57,0.24166793,0.69522357,timer setup
clinc,make a 10 minute timer,timer,57,0.25494623,0.71406764,timer setup
clinc,give me a 10 minute timer,timer,57,0.24149781,0.6949789,timer setup
clinc,will you create a timer for me,timer,57,0.2349748,0.6855288,timer setup
clinc,please begin a timer,timer,57,0.21884036,0.66157454,timer setup
clinc,is it possible to set a timer,timer,57,0.24213243,0.69589156,timer setup
clinc,i want a timer set for 10 minutes,timer,57,0.2531222,0.71150863,timer setup
clinc,set a timer for 10 minutes,timer,57,0.25326574,0.71171045,timer setup
clinc,can i get a timer set,timer,57,0.24333817,0.697622,timer setup
clinc,i need to use a timer,timer,57,0.23857605,0.690762,timer setup
clinc,set a timer to go off in 1 hour,timer,57,0.24612772,0.7016093,timer setup
clinc,i need a timer for 45 minutes,timer,57,0.23950171,0.6921008,timer setup
clinc,in 15 minutes the timer should go off,timer,57,0.2317537,0.68081397,timer setup
clinc,start the timer now,timer,57,0.22877908,0.67643064,timer setup
clinc,set a timer for 30 minutes,timer,57,0.24649608,0.702134,timer setup
clinc,set a timer for 5 minutes from now,timer,57,0.23781443,0.6896586,timer setup
clinc,let me know when it's been 5 minutes,timer,57,0.21993124,0.6632215,timer setup
clinc,can you set the timer to 20 minutes,timer,57,0.25157428,0.70932966,timer setup
clinc,define antebellum,definition,100,0.25808734,0.71845305,spelling inquiry
clinc,define discontent,definition,100,0.24721956,0.7031637,no
clinc,what is the meaning of incandescent,definition,100,0.21237254,0.6517248,spelling inquiry
clinc,what does confrontation mean,definition,100,0.23696959,0.68843246,existential inquiry
clinc,what does serendipity mean,definition,100,0.23390996,0.6839736,spelling inquiry
clinc,what's the definition of luminescent,definition,100,0.21992254,0.6632083,spelling inquiry
clinc,what is the definiton of auspicious,definition,100,0.22919965,0.677052,spelling inquiry
clinc,what does circuitous mean,definition,100,0.2315098,0.68045557,spelling inquiry
clinc,what's the definition of unencumbered,definition,100,0.22985697,0.6780223,spelling inquiry
clinc,what does adulation mean,definition,100,0.20962083,0.6474891,spelling inquiry
clinc,what does assiduous mean,definition,100,0.2280997,0.67542547,spelling inquiry
clinc,what does amicable mean,definition,100,0.2130022,0.6526901,spelling inquiry
clinc,what's the definition of remunerative,definition,100,0.24135244,0.6947698,spelling inquiry
clinc,what does anachronistic mean,definition,100,0.2327978,0.68234575,spelling inquiry
clinc,what's the definition of idiosyncratic,definition,100,0.22958076,0.6776147,existential inquiry
clinc,what does yolo mean,definition,100,0.19778621,0.62894565,identity inquiry
clinc,can you tell me the meaning of fluctuate,definition,100,0.18061239,0.60101986,spelling inquiry
clinc,what does the word polynomial mean,definition,100,0.22299165,0.66781986,spelling inquiry
clinc,what does ferrari mean,definition,100,0.15335476,0.55381376,spelling inquiry
clinc,what is the meaning of the word girn,definition,100,0.20734346,0.64396185,spelling inquiry
